year,state_name,ac_name,total_electors,total_valid_votes,turnout,margin,num_candidates,winner_vote_share,turnout_change,avg_turnout,turnout_volatility,low_turnout_score,negative_trend_score,volatility_score,large_electorate_penalty,priority_score
2019,Andhra Pradesh,Chandragiri,292162,228192,78.1,81504,23,56.0,-1.6600000000000108,78.61333333333333,0.9948534230394636,0.23136838378474067,0.01748472719612398,0.018479866994050107,0.07757225876075521,0.10924597094761901
2009,Andhra Pradesh,Chandrayangutta,176158,97642,55.43,22433,16,46.59,,55.43,,0.539166224110462,0.0,0.0,0.10827370395462162,0.22649386003964697
2009,Andhra Pradesh,Charminar,166938,89955,53.89,27333,11,48.61,,53.89,,0.559612320764737,0.0,0.0,0.10639915736998244,0.23448484404289305
2009,Andhra Pradesh,Cheepurupalle,178142,142281,79.87,38317,9,42.65,,81.52333333333333,1.7522081307120216,0.1927332271198442,0.0,0.03254808442285157,0.03914731016316188,0.08751763874882419
2014,Andhra Pradesh,Cheepurupalle,189401,154055,81.34,41131,11,41.41,1.4699999999999989,81.52333333333333,1.7522081307120216,0.1927332271198442,0.0,0.03254808442285157,0.041662515570248464,0.08776915928953286
2019,Andhra Pradesh,Cheepurupalle,198988,165883,83.36,58202,9,53.81,2.019999999999996,81.52333333333333,1.7522081307120216,0.1927332271198442,0.0,0.03254808442285157,0.043804204373671426,0.08798332816987514
2009,Andhra Pradesh,Chennur,150107,112579,75.0,18059,9,39.98,,74.905,0.13435028842544242,0.28060276155071684,0.0,0.002495619357803586,0.04787685866819455,0.11752791435866691
2010,Andhra Pradesh,Chennur,150107,112300,74.81,44284,21,60.45,-0.18999999999999773,74.905,0.13435028842544242,0.28060276155071684,0.0020012639561828283,0.002495619357803586,0.04787685866819455,0.11812829354552176
2009,Andhra Pradesh,Chevella,192009,148243,77.21,46927,10,42.05,,78.42333333333333,1.0509678079433937,0.2338909541511771,0.0,0.019522217902698917,0.051266478065106466,0.10258747304752128
2014,Andhra Pradesh,Chevella,205757,162571,79.01,48284,13,39.48,1.8000000000000114,78.42333333333333,1.0509678079433937,0.2338909541511771,0.0,0.019522217902698917,0.054993569048629294,0.10296018214587356
2018,Andhra Pradesh,Chevella,224170,177197,79.05,60142,9,55.96,0.03999999999999204,78.42333333333333,1.0509678079433937,0.2338909541511771,0.0,0.019522217902698917,0.05998534430900213,0.10345935967191085
2009,Andhra Pradesh,Chilakaluripet,189173,154864,81.86,43385,15,49.98,,84.06333333333333,2.2409001167685627,0.1590104443264294,0.0,0.041625766314714374,0.03433074908981285,0.07536240590249593
2014,Andhra Pradesh,Chilakaluripet,201214,173730,86.34,77648,14,51.57,4.480000000000004,84.06333333333333,2.2409001167685627,0.1590104443264294,0.0,0.041625766314714374,0.03654999410530355,0.075584330404045
2019,Andhra Pradesh,Chilakaluripet,223976,188115,83.99,83171,20,50.2,-2.3500000000000085,84.06333333333333,2.2409001167685627,0.1590104443264294,0.024752475247524844,0.041625766314714374,0.040745198410809674,0.08342959340885306
2009,Andhra Pradesh,Chintalapudi,212001,177513,83.73,32883,12,38.35,,83.40333333333334,1.1842860014934444,0.16777305717826152,0.0,0.021998665616136837,0.040661843621185086,0.07557514035665047
2014,Andhra Pradesh,Chintalapudi,240021,202553,84.39,88603,13,52.04,0.6599999999999966,83.40333333333334,1.1842860014934444,0.16777305717826152,0.0,0.021998665616136837,0.04611072551937399,0.07612002854646938
2019,Andhra Pradesh,Chintalapudi,263398,216232,82.09,67841,11,53.53,-2.299999999999997,83.40333333333334,1.1842860014934444,0.16777305717826152,0.02422582683800292,0.021998665616136837,0.0506567109631271,0.08384237514224556
2009,Andhra Pradesh,Chirala,163795,129737,79.21,23832,15,43.63,,81.05,1.692365208812802,0.1990175252257036,0.0,0.031436474198046585,0.037114201226187866,0.08960572505250954
2014,Andhra Pradesh,Chirala,190044,154700,81.4,39955,23,37.2,2.190000000000012,81.05,1.692365208812802,0.1990175252257036,0.0,0.031436474198046585,0.04316929857772528,0.09021123478766328
2019,Andhra Pradesh,Chirala,190830,157511,82.54,64012,16,53.27,1.1400000000000006,81.05,1.692365208812802,0.1990175252257036,0.0,0.031436474198046585,0.04335061239990168,0.09022936616988092
2009,Andhra Pradesh,Chittoor,179155,127000,70.89,29492,11,36.29,,74.85666666666667,3.6801132228959075,0.28124446804744196,0.0,0.06835982196692278,0.05745563437886666,0.131915315050248
2014,Andhra Pradesh,Chittoor,192535,145409,75.52,65509,15,50.5,4.6299999999999955,74.85666666666667,3.6801132228959075,0.28124446804744196,0.0,0.06835982196692278,0.061817348003125445,0.13235148641267389
2019,Andhra Pradesh,Chittoor,193904,151550,78.16,47034,12,60.18,2.6400000000000006,74.85666666666667,3.6801132228959075,0.28124446804744196,0.0,0.06835982196692278,0.06226362498007689,0.13239611411036906
2009,Andhra Pradesh,Chodavaram,189776,153994,81.15,32823,9,36.13,,82.93666666666667,1.815663331494395,0.17396884404319335,0.0,0.03372679441507973,0.03768189690133553,0.08010108619042684
